Date,Away Team,Home Team,Trigger,Initial Call,Final Ruling,Ruling Description,Team Challenged,Challenge Outcome,Period,Game Clock - Review is Triggered,Video Link
10/15/2024,OKC,DEN,Challenge Goaltending/BI,Basket Interference,Stands,Basket Interference,DEN,Unsuccessful,2,01:27.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400054_20241015_220945
10/15/2024,CHA,NYK,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,CHA,Unsuccessful,4,09:16.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400052_20241015_221343
10/15/2024,SAC,UTA,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,UTA,Unsuccessful,3,00:03.3,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400055_20241015_232415
10/15/2024,BOS,TOR,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,BOS,Successful,1,06:43.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/
10/16/2024,BKN,PHI,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,PHI,Successful,2,02:02.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400058_20241016_203003
10/16/2024,ATL,MIA,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,ATL,Successful,2,01:20.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400025_20241016_203937
10/16/2024,CLE,DET,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),CLE,Successful,4,09:28.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400057_20241016_210311
10/16/2024,ULM,POR,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,ULM,Unsuccessful,4,08:52.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400060_20241017_000613
10/16/2024,ULM,POR,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,POR,Unsuccessful,4,07:33.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400060_20241017_001036
10/17/2024,CHA,IND,Challenge OOB,Home Team Ball,Stands,Home Team Ball,CHA,Unsuccessful,2,00:35.6,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400061_20241017_201116
10/17/2024,MIL,DAL,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,MIL,Unsuccessful,2,05:49.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400062_20241017_202203
10/17/2024,CHA,IND,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,IND,Successful,4,07:29.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400061_20241017_210834
10/17/2024,ATL,OKC,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,OKC,Successful,4,00:41.7,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400064_20241017_220908
10/17/2024,SAC,LAC,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,SAC,Unsuccessful,2,07:31.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400066_20241017_232417
10/17/2024,LAL,PHX,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,PHX,Unsuccessful,4,11:06.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400065_20241017_235301
10/17/2024,LAL,PHX,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,LAL,Unsuccessful,4,01:41.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400065_20241018_002106
10/18/2024,TOR,BKN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,TOR,Successful,1,02:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400069_20241018_200703
10/18/2024,PHI,ORL,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,PHI,Unsuccessful,3,08:39.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400067_20241018_203102
10/18/2024,PHI,ORL,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,ORL,Unsuccessful,3,04:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400067_20241018_204620
10/18/2024,CLE,CHI,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,CLE,Successful,2,07:16.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400070_20241018_205044
10/18/2024,NYK,WAS,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,WAS,Unsuccessful,4,03:14.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400068_20241018_211521
10/18/2024,TOR,BKN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),BKN,Successful,4,10:10.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400069_20241018_213812
10/18/2024,TOR,BKN,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,BKN,Unsuccessful,4,06:31.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400069_20241018_214842
10/18/2024,CLE,CHI,Challenge OOB,Away Team Ball,Stands,Away Team Ball,CHI,Unsuccessful,4,06:48.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400070_20241018_215959
10/18/2024,CLE,CHI,Challenge OOB,Home Team Ball,Stands,Home Team Ball,CLE,Unsuccessful,5,04:48.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0012400070_20241018_222644
10/23/2024,CHI,NOP,Challenge Goaltending/BI,Goaltending,Overturned,Inadvertent Whistle - Home Team Gains Possession,NOP,Successful,1,03:40.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400069_20241023_202920
10/23/2024,MIL,PHI,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,MIL,Successful,2,01:06.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400066_20241023_203938
10/23/2024,MIL,PHI,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,PHI,Unsuccessful,3,11:13.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400066_20241023_210255
10/23/2024,BKN,ATL,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,BKN,Successful,3,03:51.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400064_20241023_211230
10/23/2024,IND,DET,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,IND,Successful,4,06:32.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400063_20241023_211557
10/23/2024,MEM,UTA,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,UTA,Successful,1,08:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400070_20241023_212231
10/23/2024,CLE,TOR,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,TOR,Unsuccessful,3,00:34.4,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400067_20241023_213132
10/23/2024,CHA,HOU,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,HOU,Unsuccessful,3,00:07.8,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400068_20241023_215223
10/23/2024,BKN,ATL,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,BKN,Unsuccessful,4,00:57.1,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400064_20241023_220733
10/23/2024,MEM,UTA,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,MEM,Successful,4,01:24.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400070_20241023_233916
10/23/2024,PHX,LAC,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,PHX,Successful,3,06:27.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400071_20241023_234516
10/23/2024,PHX,LAC,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,PHX,Successful,4,01:54.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400071_20241024_003428
10/24/2024,BOS,WAS,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,WAS,Successful,3,08:44.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400073_20241024_203454
10/24/2024,MIN,SAC,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,SAC,Successful,2,09:19.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400076_20241024_224619
10/24/2024,MIN,SAC,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,MIN,Successful,2,01:41.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400076_20241024_230636
10/24/2024,OKC,DEN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,OKC,Successful,3,05:34.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400075_20241024_233828
10/24/2024,MIN,SAC,Challenge of Called Foul,Offensive Foul,Overturned,Inadvertent Whistle - Away Team Retains Possession,MIN,Successful,3,04:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400076_20241024_234640
10/24/2024,OKC,DEN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Retains Possession,OKC,Successful,4,04:25.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400075_20241025_001105
10/24/2024,MIN,SAC,Challenge OOB,Away Team Ball,Stands,Away Team Ball,SAC,Unsuccessful,4,00:25.9,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400076_20241025_002751
10/25/2024,BKN,ORL,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),ORL,Successful,2,07:03.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400077_20241025_195434
10/25/2024,PHI,TOR,Challenge OOB,Away Team Ball,Stands,Away Team Ball,TOR,Unsuccessful,2,00:13.6,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400078_20241025_202136
10/25/2024,CHA,ATL,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,CHA,Successful,2,07:03.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400079_20241025_202351
10/25/2024,BKN,ORL,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,BKN,Successful,3,10:39.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400077_20241025_203602
10/25/2024,CHI,MIL,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,MIL,Successful,2,08:21.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400083_20241025_204950
10/25/2024,CHA,ATL,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,ATL,Successful,3,07:37.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400079_20241025_210946
10/25/2024,BKN,ORL,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,ORL,Unsuccessful,4,05:23.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400077_20241025_212903
10/25/2024,CHI,MIL,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,MIL,Unsuccessful,3,05:59.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400083_20241025_213741
10/25/2024,CHA,ATL,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,CHA,Unsuccessful,4,00:16.6,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400079_20241025_220549
10/25/2024,MEM,HOU,Challenge OOB,Away Team Ball,Stands,Away Team Ball,HOU,Unsuccessful,4,08:16.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400082_20241025_221948
10/25/2024,MEM,HOU,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),MEM,Successful,4,07:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400082_20241025_222416
10/25/2024,GSW,UTA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),GSW,Successful,3,09:55.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400084_20241025_225650
10/25/2024,PHX,LAL,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,PHX,Unsuccessful,4,09:33.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400085_20241026_000329
10/25/2024,NOP,POR,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,POR,Unsuccessful,4,09:36.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400086_20241026_000636
10/25/2024,NOP,POR,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,NOP,Successful,4,01:20.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400086_20241026_002944
10/26/2024,LAC,DEN,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,DEN,Successful,3,03:16.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400087_20241026_184157
10/26/2024,LAC,DEN,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,DEN,Unsuccessful,4,00:30.5,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400087_20241026_192329
10/26/2024,ORL,MEM,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,MEM,Unsuccessful,1,08:24.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400092_20241026_201857
10/26/2024,OKC,CHI,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,CHI,Successful,1,08:57.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400091_20241026_201832
10/26/2024,CLE,WAS,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,CLE,Successful,3,01:34.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400090_20241026_205035
10/26/2024,BOS,DET,Challenge OOB,Away Team Ball,Stands,Away Team Ball,DET,Unsuccessful,4,11:47.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400089_20241026_205306
10/26/2024,HOU,SAS,Challenge OOB,Jump Ball,Overturned,Home Team Ball,SAS,Successful,1,00:33.6,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400094_20241026_210159
10/26/2024,OKC,CHI,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,OKC,Unsuccessful,2,04:24.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400091_20241026_210204
10/26/2024,TOR,MIN,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,MIN,Unsuccessful,2,02:50.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400093_20241026_210433
10/26/2024,MIA,CHA,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,MIA,Successful,4,10:38.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400088_20241026_211223
10/26/2024,DAL,PHX,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Gains Possession,DAL,Successful,1,09:31.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400095_20241026_221822
10/26/2024,TOR,MIN,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,TOR,Unsuccessful,4,01:45.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400093_20241026_222041
10/26/2024,SAC,LAL,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,LAL,Successful,2,10:58.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400096_20241026_230824
10/26/2024,SAC,LAL,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),SAC,Successful,3,09:00.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400096_20241026_235859
10/26/2024,DAL,PHX,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,PHX,Successful,4,02:29.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400095_20241027_002633
10/27/2024,PHI,IND,Challenge OOB,Home Team Ball,Stands,Home Team Ball,PHI,Unsuccessful,4,02:26.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400097_20241027_175515
10/27/2024,PHI,IND,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Away Team Retains Possession,IND,Successful,4,02:09.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400097_20241027_175937
10/27/2024,PHI,IND,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,IND,Successful,5,00:16.4,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400097_20241027_182650
10/27/2024,MIL,BKN,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,BKN,Unsuccessful,3,11:36.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400098_20241027_192753
10/27/2024,LAC,GSW,Challenge of Called Foul,Defensive Foul,Overturned,Offensive Foul,GSW,Successful,3,04:23.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/
10/28/2024,IND,ORL,Challenge of Called Foul,Offensive Foul,Overturned,Defensive Foul,IND,Successful,1,02:08.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400102_20241028_193142
10/28/2024,MIL,BOS,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,BOS,Successful,1,09:47.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400104_20241028_194423
10/28/2024,DET,MIA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,MIA,Successful,2,07:21.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400105_20241028_202133
10/28/2024,WAS,ATL,Challenge OOB,Home Team Ball,Stands,Home Team Ball,WAS,Unsuccessful,2,03:57.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400103_20241028_202703
10/28/2024,CLE,NYK,Challenge of Called Foul,Loose Ball Foul,Stands,Loose Ball Foul,CLE,Unsuccessful,2,00:23.9,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400106_20241028_203255
10/28/2024,IND,ORL,Challenge OOB,Away Team Ball,Overturned,Home Team Ball,ORL,Successful,3,07:28.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400102_20241028_203714
10/28/2024,MIL,BOS,Challenge Goaltending/BI,Goaltending,Overturned,Inadvertent Whistle - Home Team Gains Possession,BOS,Successful,3,10:48.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400104_20241028_205344
10/28/2024,DET,MIA,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,DET,Successful,3,09:07.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400105_20241028_210111
10/28/2024,DET,MIA,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - No Possession (Jump Ball),DET,Successful,3,02:56.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400105_20241028_211648
10/28/2024,UTA,DAL,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,DAL,Unsuccessful,2,03:01.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400110_20241028_212755
10/28/2024,HOU,SAS,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,HOU,Successful,4,06:03.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400109_20241028_221053
10/28/2024,CHI,MEM,Challenge of Called Foul,Defensive Foul,Stands,Defensive Foul,MEM,Unsuccessful,4,00:32.6,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400108_20241028_221329
10/28/2024,UTA,DAL,Challenge of Called Foul,Offensive Foul,Stands,Offensive Foul,UTA,Unsuccessful,4,03:24.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400110_20241028_224743
10/28/2024,POR,SAC,Challenge OOB,Home Team Ball,Overturned,Away Team Ball,POR,Successful,2,08:01.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400112_20241028_225308
10/28/2024,POR,SAC,Challenge of Called Foul,Defensive Foul,Overturned,Inadvertent Whistle - Home Team Gains Possession,SAC,Successful,2,01:40.0,https://dmmx2.nba.com/videourlredirect?&project=/ON-AIR/0022400112_20241028_231425
